Food,Calories,Protein,Fat,Carbohydrates
pupusas con frijoles,271.125,7.0,10.6375,39.7
mustard cabbage,36.0,1.4,0.1,7.2
gourd raw,19.0,1.1,0.2,4.1
butternut squash cooked,80.0,1.8,0.2,21.0
burdock root cooked,146.0,3.5,0.2,35.1
cassava,271.125,2.8,0.6,46.4
peas carrots cooked,77.0,4.9,0.7,16.2
romaine lettuce,8.0,0.6,0.1,1.5
yam raw,177.0,2.3,0.3,41.8
chowchow pickles,271.125,3.7,2.2,46.4
prairie turnips raw,20.0,0.3,0.029,4.5
savoy cabbage raw,19.0,1.4,0.017,4.3
celery raw,6.0,0.3,0.045,1.2
celeriac cooked,42.0,1.5,0.3,9.1
mustard spinach raw,33.0,3.3,0.5,5.9
zucchini raw,44.0,3.1,0.8,8.1
okra cooked,35.0,3.0,0.3,7.2
white icicle radish,14.0,1.1,0.1,2.6
orange tomato,18.0,1.3,0.2,3.5
pumpkin leaves raw,7.0,1.2,0.2,0.9
spaghetti squash cooked,42.0,1.0,0.4,10.0
white corn cooked,100.0,3.4,1.5,22.4
artichoke cooked,64.0,3.5,0.4,14.3
avocado,271.125,5.4,10.6375,23.0
string beans wellsley farms,8.0,0.3,0.0,1.7
lambs quarters cooked,58.0,5.8,1.3,9.0
peas cooked,134.0,8.6,0.4,25.0
beets cooked,22.0,0.8,0.085,5.0
shallots dried,3.0,0.1,0.013,0.7
green lettuce,23.0,2.0,0.2,4.3
kohlrabi cooked,48.0,3.0,0.2,11.0
kanpyo dried,139.0,4.6,0.3,35.1
prairie turnips boiled,18.0,0.2,0.086,4.2
broccoli raab cooked,21.0,3.3,0.4,2.7
summer squash cooked,49.0,2.7,1.0,9.9
taro cooked,187.0,0.7,0.1,45.7
spring onion scallions,6.0,0.4,0.077,1.5
hubbard squash cooked,57.0,2.8,0.7,12.3
jalapeno pepper,4.0,0.1,0.002,0.9
new zealand spinach cooked,22.0,2.3,0.3,3.8
sesbania flower raw,1.0,0.012,0.095,0.2
spirulina dried,20.0,4.0,0.5,1.7
chinese cabbage pe tsai cooked,17.0,1.8,0.2,2.9
zucchini cooked,27.0,2.1,0.6,4.8
green olives pickled,4.0,0.073,0.4,0.1
lotus root raw,85.0,3.0,0.1,19.8
grape leaves,13.0,0.8,0.3,2.4
dill pickled cucumber,17.0,0.9,0.2,3.7
skunk cabbage,11.0,1.5,0.1,1.8
banana pepper,9.0,0.5,0.1,1.8
oriental radish raw,61.0,2.0,0.3,13.9
purslane cooked,21.0,1.7,0.2,4.1
rhubarb raw,11.0,0.5,0.1,2.3
swamp cabbage,20.0,2.0,0.2,3.6
mung bean sprouts raw,6.0,0.6,0.044,1.2
onion cooked,7.0,0.2,0.034,1.5
swiss chard raw,7.0,0.6,0.042,1.3
peas raw,117.0,7.9,0.6,21.0
cabbage cooked,35.0,1.9,0.019,8.3
taro leaves cooked,35.0,3.9,0.6,5.6
leeks cooked,38.0,1.0,0.2,9.4
split peas cooked,227.0,8.8,0.8,40.2
sweet corn yellow,58.0,4.1,0.4,14.2
asparagus raw,2.0,0.3,0.037,0.5
collard cooked,63.0,5.1,1.4,10.7
swiss chard cooked,35.0,3.3,0.1,7.2
nopales cooked,22.0,2.0,0.003,4.9
tahitian taro cooked,60.0,5.7,0.9,9.4
chinese cabbage pak choi raw,9.0,1.1,0.1,1.5
green chili pepper,18.0,0.9,0.097,4.3
mountain yam raw,91.0,1.8,0.1,22.2
parsnips cooked,114.0,2.1,0.5,27.2
tomato stewed,97.0,2.4,3.3,16.1
sweet green peppers cooked,19.0,0.7,0.1,4.5
white corn raw,143.0,5.3,2.0,31.6
rutabaga raw,271.125,8.3,1.2,46.4
jalapeno peppers canned,37.0,1.3,1.3,6.4
pumpkin canned,83.0,2.7,0.7,19.8
peas onions canned,61.0,3.9,0.5,10.3
sweet mashed potato canned,258.0,5.0,0.5,46.4
hominy canned,119.0,2.4,1.5,23.5
tomato puree canned,95.0,4.1,0.5,22.5
dried tomatoes canned in oil,6.0,0.2,0.4,0.7
mixed vegetables canned,88.0,3.5,0.6,17.5
straw mushrooms canned,2.0,0.2,0.09,0.3
capers canned,2.0,0.2,0.089,0.4
red peppers canned,15.0,0.7,0.058,3.7
carrots canned,104.0,2.6,0.6,24.4
tomatoes in tomato juice canned,41.0,1.9,0.3,9.6
asparagus canned,62.0,7.4,0.7,10.2
sweet red peppers canned,25.0,1.1,0.4,5.5
onions canned,12.0,0.5,0.084,2.5
turnip greens canned,27.0,2.0,0.4,4.0
hearts of palm,9.0,0.8,0.2,1.5
spinach canned,44.0,4.9,0.9,6.8
sweet potato canned,271.125,6.3,1.3,46.4
corn canned,49.0,1.6,0.6,11.1
peas carrots canned,97.0,5.5,0.7,21.6
crookneck squash canned,27.0,1.3,0.1,6.2
tomatoes canned,77.0,4.0,0.7,17.6
pimento canned,44.0,2.1,0.6,9.8
sweet green peppers canned,25.0,1.1,0.4,5.5
peas canned,57.0,3.5,0.8,9.5
chili peppers canned,29.0,1.0,0.4,6.4
green peppers canned,15.0,0.7,0.074,3.7
grape leaves canned,20.0,1.2,0.6,3.3
sauerkraut canned,27.0,1.3,0.2,6.1
beets canned,69.0,2.0,0.2,16.2
stewed tomatoes canned,66.0,2.3,0.5,15.8
tomato paste canned,215.0,8.8,1.2,46.4
bacon ranch salad mcdonalds,271.125,8.8,10.6375,19.4
caesar salad with grilled chicken mcdonalds,201.0,8.8,5.6,11.3
caesar salad mcdonalds,94.0,6.8,4.4,9.1
vegetable salad,22.0,1.7,0.054,4.4
vegetable salad with chicken,70.0,8.8,1.5,2.5
potato salad,271.125,6.7,10.6375,27.9
taco salad taco bell,271.125,8.8,10.6375,46.4
iceberg lettuce,8.0,0.5,0.045,1.7
cornsalad,12.0,1.1,0.2,2.0
potato salad with egg,271.125,4.9,10.6375,40.5
side salad mcdonalds,17.0,0.9,0.2,3.7
caesar salad with crispy chicken mcdonalds,271.125,8.8,10.6375,19.2
grape apple salad with walnuts,191.0,3.5,8.2,25.6
vegetable salad with cheese egg,68.0,5.8,3.9,3.2
celtuce,1.0,0.071,0.088,0.3
arugula,5.0,0.5,0.1,0.7
vegetable salad with shrimp,71.0,8.8,1.7,4.4
coleslaw,271.125,1.8,10.6375,28.4
shiitake mushrooms cooked,10.0,0.3,0.007,2.6
shiitake mushrooms raw,6.0,0.4,0.039,1.3
crimini mushrooms,1.0,0.2,0.018,0.3
mushrooms raw,15.0,2.2,0.2,2.3
portabella mushrooms grilled,35.0,4.0,0.7,5.4
maitake mushrooms,0.0,0.016,0.017,0.072
shiitake mushrooms dried,11.0,0.3,0.061,2.7
chanterelle mushrooms,2.0,0.033,0.063,0.4
cloud ear fungus dried,80.0,2.6,0.2,20.4
mushrooms cooked,44.0,3.4,0.7,8.3
pepeao dried,72.0,1.2,0.1,19.4
truffles,61.0,0.7,4.1,5.4
jews ear,25.0,0.5,0.095,6.7
enoki mushrooms,1.0,0.062,0.099,0.2
morel mushrooms,4.0,0.4,0.07,0.7
portabella mushrooms raw,19.0,1.8,0.3,3.3
oyster mushroom,5.0,0.5,0.035,0.9
